"","College","Department","Subject.Code","Catalog.Number","Course.Description","Course.Level","Total.Student.Count","D_GRADE_COUNT","FAIL_GRADE_COUNT","WITHDRAW_GRADE_COUNT","DEW_COUNT","PASS_GRADE_COUNT","WITHDRAW_FULLMED_GRADE_COUNT","INCOMPLETE_UNGRADED_COUNT","TERM_LD","ACAD_YR_SID","Percent.D.Grade","Percent.E.Grade","Percent.W.Grade","Percent.DEW","Percent.Passed","Per.Full..Medical.Withdrawal","Per.Ungraded..Incomplete"
"1","College of Engineering","Aerospace & Mechanical Engr","ABE","489A","Fab Tech Micro+Nanodevic","Upper Division",10,0,0,0,0,10,0,0,"Fall 2018",2019,0,0,0,0,100,0,0
"2","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",196,17,2,1,20,173,3,0,"Fall 2018",2019,8.7,1,0.5,10.2,88.3,1.5,0
"3","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",160,22,17,3,42,115,3,0,"Fall 2019",2020,13.8,10.6,1.9,26.3,71.9,1.9,0
"4","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",111,11,4,5,20,82,9,0,"Fall 2020",2021,9.9,3.6,4.5,18,73.9,8.1,0
"5","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",254,11,5,6,22,231,1,0,"Spring 2019",2019,4.3,2,2.4,8.7,90.9,0.4,0
"6","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",213,3,9,19,31,182,0,0,"Spring 2020",2020,1.4,4.2,8.9,14.6,85.4,0,0
"7","College of Engineering","Aerospace & Mechanical Engr","AME","105","Introduction to MATLAB I","Lower Division",208,5,9,19,33,170,5,0,"Spring 2021",2021,2.4,4.3,9.1,15.9,81.7,2.4,0
"8","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",80,7,5,5,17,56,7,0,"Fall 2018",2019,8.8,6.3,6.3,21.3,70,8.8,0
"9","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",89,10,3,1,14,69,6,0,"Fall 2019",2020,11.2,3.4,1.1,15.7,77.5,6.7,0
"10","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",89,8,2,4,14,73,2,0,"Fall 2020",2021,9,2.2,4.5,15.7,82,2.2,0
"11","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",77,5,6,9,20,54,3,0,"Spring 2019",2019,6.5,7.8,11.7,26,70.1,3.9,0
"12","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",69,1,6,2,9,58,2,0,"Spring 2020",2020,1.4,8.7,2.9,13,84.1,2.9,0
"13","College of Engineering","Aerospace & Mechanical Engr","AME","170B1","Aeronautics:Sci+People","Lower Division",61,7,3,1,11,46,3,1,"Spring 2021",2021,11.5,4.9,1.6,18,75.4,4.9,1.6
"14","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",194,15,5,5,25,164,5,0,"Fall 2018",2019,7.7,2.6,2.6,12.9,84.5,2.6,0
"15","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",156,10,13,4,27,127,2,0,"Fall 2019",2020,6.4,8.3,2.6,17.3,81.4,1.3,0
"16","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",101,6,5,3,14,85,2,0,"Fall 2020",2021,5.9,5,3,13.9,84.2,2,0
"17","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",207,24,14,5,43,157,7,0,"Spring 2019",2019,11.6,6.8,2.4,20.8,75.8,3.4,0
"18","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",29,1,2,2,5,24,0,0,"Spring 2020",2020,3.4,6.9,6.9,17.2,82.8,0,0
"19","College of Engineering","Aerospace & Mechanical Engr","AME","205","Introduction to MATLAB II","Lower Division",100,2,5,0,7,91,2,0,"Spring 2021",2021,2,5,0,7,91,2,0
"20","College of Engineering","Aerospace & Mechanical Engr","AME","211","Computer-Aided Drafting/Mfg","Lower Division",46,3,1,7,11,34,1,0,"Fall 2019",2020,6.5,2.2,15.2,23.9,73.9,2.2,0
"21","College of Engineering","Aerospace & Mechanical Engr","AME","211","Computer-Aided Drafting/Mfg","Lower Division",139,5,8,9,22,112,5,0,"Fall 2020",2021,3.6,5.8,6.5,15.8,80.6,3.6,0
"22","College of Engineering","Aerospace & Mechanical Engr","AME","211","Computer-Aided Drafting/Mfg","Lower Division",65,0,10,2,12,51,2,0,"Spring 2020",2020,0,15.4,3.1,18.5,78.5,3.1,0
"23","College of Engineering","Aerospace & Mechanical Engr","AME","211","Computer-Aided Drafting/Mfg","Lower Division",53,3,12,2,17,36,0,0,"Spring 2021",2021,5.7,22.6,3.8,32.1,67.9,0,0
"24","College of Engineering","Aerospace & Mechanical Engr","AME","220","Intro to Aerospace Engineering","Lower Division",59,8,4,0,12,46,1,0,"Spring 2019",2019,13.6,6.8,0,20.3,78,1.7,0
"25","College of Engineering","Aerospace & Mechanical Engr","AME","220","Intro to Aerospace Engineering","Lower Division",61,0,1,0,1,58,2,0,"Spring 2020",2020,0,1.6,0,1.6,95.1,3.3,0
"26","College of Engineering","Aerospace & Mechanical Engr","AME","220","Intro to Aerospace Engineering","Lower Division",79,7,3,4,14,64,1,0,"Spring 2021",2021,8.9,3.8,5.1,17.7,81,1.3,0
"27","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",80,3,0,1,4,75,1,0,"Fall 2018",2019,3.8,0,1.3,5,93.8,1.3,0
"28","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",84,4,5,8,17,65,2,0,"Fall 2019",2020,4.8,6,9.5,20.2,77.4,2.4,0
"29","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",90,3,7,8,18,70,2,0,"Fall 2020",2021,3.3,7.8,8.9,20,77.8,2.2,0
"30","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",155,8,4,9,21,131,3,0,"Spring 2019",2019,5.2,2.6,5.8,13.5,84.5,1.9,0
"31","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",196,2,10,5,17,177,2,0,"Spring 2020",2020,1,5.1,2.6,8.7,90.3,1,0
"32","College of Engineering","Aerospace & Mechanical Engr","AME","230","Thermodynamics","Lower Division",156,4,2,5,11,144,1,0,"Spring 2021",2021,2.6,1.3,3.2,7.1,92.3,0.6,0
"33","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",74,4,6,6,16,58,0,0,"Fall 2018",2019,5.4,8.1,8.1,21.6,78.4,0,0
"34","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",74,9,2,1,12,61,1,0,"Fall 2019",2020,12.2,2.7,1.4,16.2,82.4,1.4,0
"35","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",87,7,6,11,24,63,0,0,"Fall 2020",2021,8,6.9,12.6,27.6,72.4,0,0
"36","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",127,13,3,10,26,98,3,0,"Spring 2019",2019,10.2,2.4,7.9,20.5,77.2,2.4,0
"37","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",117,0,0,0,0,117,0,0,"Spring 2020",2020,0,0,0,0,100,0,0
"38","College of Engineering","Aerospace & Mechanical Engr","AME","250","Dynamics","Lower Division",127,5,6,5,16,109,2,0,"Spring 2021",2021,3.9,4.7,3.9,12.6,85.8,1.6,0
"39","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",89,6,1,1,8,81,0,0,"Fall 2018",2019,6.7,1.1,1.1,9,91,0,0
"40","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",79,3,1,0,4,73,2,0,"Fall 2019",2020,3.8,1.3,0,5.1,92.4,2.5,0
"41","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",82,15,7,6,28,53,1,0,"Fall 2020",2021,18.3,8.5,7.3,34.1,64.6,1.2,0
"42","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",94,0,0,0,0,93,1,0,"Spring 2019",2019,0,0,0,0,98.9,1.1,0
"43","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",85,0,5,1,6,79,0,0,"Spring 2020",2020,0,5.9,1.2,7.1,92.9,0,0
"44","College of Engineering","Aerospace & Mechanical Engr","AME","300","Instrumentation Lab","Upper Division",83,7,4,1,12,68,2,1,"Spring 2021",2021,8.4,4.8,1.2,14.5,81.9,2.4,1.2
"45","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",188,10,0,1,11,177,0,0,"Fall 2018",2019,5.3,0,0.5,5.9,94.1,0,0
"46","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",150,12,3,0,15,133,2,0,"Fall 2019",2020,8,2,0,10,88.7,1.3,0
"47","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",142,17,5,3,25,114,3,0,"Fall 2020",2021,12,3.5,2.1,17.6,80.3,2.1,0
"48","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",67,7,3,4,14,53,0,0,"Spring 2019",2019,10.4,4.5,6,20.9,79.1,0,0
"49","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",65,0,4,3,7,58,0,0,"Spring 2020",2020,0,6.2,4.6,10.8,89.2,0,0
"50","College of Engineering","Aerospace & Mechanical Engr","AME","301","Engineering Analysis","Upper Division",86,4,2,4,10,70,5,1,"Spring 2021",2021,4.7,2.3,4.7,11.6,81.4,5.8,1.2
"51","College of Engineering","Aerospace & Mechanical Engr","AME","302","Numerical Methods","Upper Division",39,0,0,1,1,38,0,0,"Fall 2018",2019,0,0,2.6,2.6,97.4,0,0
"52","College of Engineering","Aerospace & Mechanical Engr","AME","302","Numerical Methods","Upper Division",27,0,0,0,0,26,1,0,"Fall 2019",2020,0,0,0,0,96.3,3.7,0
